"band" "sum" "mean" "sd" "region"
"24" "gcvi_stdDev" "442.576451513348" "44.2576451513348" "3.11926053502187" "30"
"25" "green_median" "284.700459624315" "28.4700459624315" "4.88123067255512" "30"
"26" "green_median_dry" "373.941608983403" "37.3941608983403" "3.89745853271066" "30"
"27" "green_median_texture" "66.7760846654983" "6.67760846654983" "2.78615341106858" "30"
"28" "green_median_wet" "356.816453734733" "35.6816453734733" "5.23323770332088" "30"
"29" "green_min" "126.70138148194" "12.670138148194" "2.46630695012191" "30"
"30" "green_stdDev" "131.956904844357" "13.1956904844357" "2.33450956235884" "30"
"31" "gv_amp" "46.5678196944083" "4.65678196944083" "1.34765756087493" "30"
"32" "gv_max" "135.684399525427" "13.5684399525427" "2.194416201818" "30"
"33" "gv_median" "347.633875678596" "34.7633875678596" "4.01055434362035" "30"
"34" "gv_median_dry" "390.590290369453" "39.0590290369453" "2.29046679254217" "30"
"35" "gv_median_wet" "143.89664790638" "14.389664790638" "2.53152730818005" "30"
"36" "gv_min" "308.796490532539" "30.8796490532539" "2.34466940006851" "30"
"37" "gv_stdDev" "8.07609435061641" "0.807609435061641" "0.5071792979546" "30"
"38" "gvs_amp" "108.339068234863" "10.8339068234863" "1.8504260648949" "30"
"39" "gvs_max" "475.38818330822" "47.538818330822" "2.75958697091469" "30"
"40" "gvs_median" "494.55458035194" "49.455458035194" "3.12826068308593" "30"
"41" "gvs_median_dry" "445.732923441909" "44.5732923441909" "2.39765845234521" "30"
"42" "gvs_median_wet" "464.219766629761" "46.4219766629761" "3.11168587446591" "30"
"43" "gvs_min" "362.693044701031" "36.2693044701031" "2.37013239465329" "30"
"44" "gvs_stdDev" "35.1769666157016" "3.51769666157016" "1.08924703037339" "30"
"45" "hallcover_median" "853.814493610092" "85.3814493610092" "2.83140664709641" "30"
"46" "hallcover_stdDev" "201.711328093244" "20.1711328093244" "3.9598332469231" "30"
"47" "hand" "30.9795529783872" "3.09795529783872" "1.85710300325798" "30"
"48" "longitude_cos" "91.8201261565355" "9.18201261565355" "2.17709451535558" "30"
"49" "longitude_sin" "91.4709506664587" "9.14709506664587" "2.16348846257565" "30"
"50" "ndfi_amp" "137.513706183522" "13.7513706183522" "20.4242610877511" "30"
"51" "ndfi_max" "624.30580438208" "62.430580438208" "1.99784083273943" "30"
"52" "ndfi_median" "582.055308692375" "58.2055308692375" "2.85453063924693" "30"
"53" "ndfi_median_dry" "506.212108877129" "50.6212108877129" "2.55466522538017" "30"
"54" "ndfi_median_wet" "654.187864390881" "65.4187864390881" "2.21861830780023" "30"
"55" "ndfi_min" "413.207043512313" "41.3207043512313" "2.54402030703452" "30"
"56" "ndfi_stdDev" "5.6963989861209" "0.569639898612091" "0.328027179962216" "30"
"57" "ndvi_amp" "167.961553455762" "16.7961553455762" "3.80475468997752" "30"
"58" "ndvi_median" "891.294537694396" "89.1294537694396" "1.71124492085141" "30"
"59" "ndvi_median_dry" "1000" "100" "0" "30"
"60" "ndvi_median_wet" "761.087612742225" "76.1087612742224" "1.78286488013168" "30"
"61" "ndvi_stdDev" "166.547674928491" "16.6547674928491" "2.84778630901887" "30"
"62" "ndwi_amp" "302.90429750312" "30.290429750312" "2.83383647085602" "30"
"63" "ndwi_median" "375.08248605638" "37.508248605638" "4.07171544860698" "30"
"64" "ndwi_median_dry" "521.331962894273" "52.1331962894273" "3.5195890860865" "30"
"65" "ndwi_median_wet" "122.163841572958" "12.2163841572958" "1.8790939713829" "30"
"66" "ndwi_stdDev" "234.606487768517" "23.4606487768517" "2.68607712775271" "30"
"67" "nir_median" "565.08200086632" "56.508200086632" "4.45159564699504" "30"
"68" "nir_median_dry" "644.654335878839" "64.4654335878839" "3.22770689231032" "30"
"69" "nir_median_wet" "545.074344796279" "54.5074344796279" "4.64220892771951" "30"
"70" "nir_min" "521.72570132213" "52.172570132213" "3.55387277724106" "30"
"71" "nir_stdDev" "161.369645732605" "16.1369645732605" "1.98796967089505" "30"
"72" "npv_amp" "0.63284528448815" "0.063284528448815" "0.110238054238763" "30"
"73" "npv_max" "37.6902001312866" "3.76902001312866" "1.00640233448712" "30"
"74" "npv_median" "43.8691887070843" "4.38691887070843" "0.859060426529777" "30"
"75" "npv_median_dry" "86.679994655882" "8.6679994655882" "1.64660509454724" "30"
"76" "npv_median_wet" "49.2149431428254" "4.92149431428254" "0.987760750538377" "30"
"77" "npv_min" "66.7538311422529" "6.67538311422529" "1.20521928999431" "30"
